test,PKG,CPU,time
bubblesort_ll,0.019226074,0.014099121,2.406
bubblesort_ll,0.013427734,0.014221191,2.389
bubblesort_ll,0.014282227,0.013061523,2.377
bubblesort_ll,0.019165039,0.015197754,2.382
bubblesort_ll,0.013244629,0.013244629,2.371
bubblesort_ll,0.019714355,0.015136719,2.484
bubblesort,0.012634277,0.010986328,2.961
bubblesort,0.01574707,0.009521484,2.591
bubblesort,0.01574707,0.010314941,2.659
bubblesort,0.010131836,0.009460449,2.513
bubblesort,0.015014648,0.009399414,2.582
bubblesort,0.010803223,0.009887695,2.607
bubblesort,0.014587402,0.009460449,2.539
bubblesort,0.00958252,0.008911133,2.512
bubblesort,0.013366699,0.010253906,2.641
bubblesort,0.01550293,0.009765625,2.591
bubblesort,0.009887695,0.009887695,2.543
bubblesort,0.014343262,0.009216309,2.522
bubblesort,0.009277344,0.010131836,2.535
bubblesort,0.014099121,0.009155273,2.541
bubblesort,0.009460449,0.00958252,2.54
bubblesort,0.014587402,0.00982666,2.512
bubblesort,0.012512207,0.011352539,2.163
bubblesort,0.012451172,0.010437012,2.097
bubblesort,0.012634277,0.012145996,2.146
bubblesort,0.013671875,0.012145996,1.992
bubblesort,0.014221191,0.012084961,2.032
bubblesort,0.013977051,0.01171875,1.998
bubblesort,0.01373291,0.012023926,2.006
bubblesort,0.01373291,0.012390137,2.008
bubblesort,0.013366699,0.011901855,2.038
bubblesort,0.012756348,0.012145996,2.042
bubblesort,0.014282227,0.011657715,2.104
bubblesort,0.013000488,0.011657715,1.998
bubblesort,0.013977051,0.012878418,2.022
bubblesort,0.013671875,0.01159668,2.019
bubblesort_func,0.021972656,0.019775391,4.135
bubblesort_func,0.01965332,0.01776123,3.474
bubblesort_func,0.023742676,0.017456055,3.337
bubblesort_func,0.018005371,0.017272949,3.406
bubblesort_func,0.024719238,0.018127441,3.445
bubblesort_func,0.017944336,0.017822266,3.407
bubblesort_func,0.018127441,0.017456055,3.382
bubblesort_func,0.023925781,0.018188477,3.489
bubblesort_func,0.018981934,0.016906738,3.411
bubblesort_func,0.024353027,0.017089844,3.395
bubblesort_func,0.018249512,0.017944336,3.391
bubblesort_func,0.018554688,0.01763916,3.374
bubblesort_func,0.024353027,0.016723633,3.418
bubblesort_func,0.01776123,0.017944336,3.465
bubblesort_func,0.023742676,0.018554688,3.529
bubblesort_func,0.018737793,0.016845703,3.49
bubblesort_func,0.024414063,0.016113281,3.374
bubblesort_func,0.018005371,0.018066406,3.534
bubblesort_func,0.024353027,0.017028809,3.447
bubblesort_func,0.017883301,0.017822266,3.459
bubblesort_func,0.019104004,0.01763916,3.373
bubblesort_func,0.023193359,0.017089844,3.393
bubblesort_func,0.018676758,0.018676758,3.438
bubblesort_func,0.025024414,0.016174316,3.446
bubblesort_func,0.017700195,0.016967773,3.468
bubblesort_func,0.024047852,0.017822266,3.494
bubblesort_func,0.018920898,0.017456055,3.425
bubblesort_func,0.024902344,0.017883301,3.442
bubblesort_func,0.017883301,0.017822266,3.411
bubblesort_func,0.018005371,0.01763916,3.484
bubblesort_ll2,0.020080566,0.016967773,3.822
bubblesort_ll2,0.016113281,0.016601563,3.546
bubblesort_ll2,0.023193359,0.016540527,3.466
bubblesort_ll2,0.016296387,0.016723633,3.553
bubblesort_ll2,0.021728516,0.016357422,3.536
bubblesort_ll2,0.016784668,0.017944336,3.598
bubblesort_ll2,0.023071289,0.018249512,3.556
bubblesort_ll2,0.016723633,0.016845703,3.59
bubblesort_ll2,0.022644043,0.01776123,3.509
bubblesort_ll2,0.017028809,0.017578125,3.582
bubblesort_ll2,0.023498535,0.017883301,3.572
bubblesort_ll2,0.023864746,0.018432617,3.624
bubblesort_ll2,0.016784668,0.017944336,3.517
bubblesort_ll2,0.023376465,0.018310547,3.537
bubblesort_ll2,0.017883301,0.017578125,3.557
bubblesort_ll2,0.022399902,0.018249512,3.578
bubblesort_ll2,0.023864746,0.018371582,3.752
bubblesort_ll2,0.01763916,0.018066406,3.61
bubblesort_ll2,0.022766113,0.018371582,3.741
bubblesort_ll2,0.022705078,0.017822266,3.611
bubblesort_ll2,0.017211914,0.018005371,3.579
bubblesort_ll2,0.023498535,0.019042969,3.778
bubblesort_ll2,0.018310547,0.017272949,3.578
bubblesort_ll2,0.023864746,0.018737793,3.597
bubblesort_ll2,0.025085449,0.017944336,3.543
bubblesort_ll2,0.01776123,0.018798828,3.712
bubblesort_ll2,0.023132324,0.017944336,3.575
bubblesort_ll2,0.024658203,0.018676758,3.618
bubblesort_ll2,0.017456055,0.018981934,3.701
bubblesort_ll2,0.023254395,0.018615723,3.866
bubblesort_ll,0.019287109,0.014221191,2.879
bubblesort_ll,0.013916016,0.013549805,2.449
bubblesort_ll,0.021850586,0.01361084,2.364
bubblesort_ll,0.014404297,0.013671875,2.453
